index,elelment,x,y,z
39207,H,4.426,6.598,10.654
39208,O,4.456,3.442,10.376
39209,H,4.478,3.518,10.43
39210,H,4.45,3.476,10.287
39211,O,1.323,5.259,6.253
39212,H,1.416,5.271,6.274
39213,H,1.287,5.348,6.251
39214,O,7.317,5.312,5.845
39215,H,7.319,5.393,5.795
39216,H,7.348,5.336,5.932
39217,O,5.851,0.044,11.082
39218,H,5.853,-0.003,10.999
39219,H,5.845,-0.024,11.148
39220,O,3.587,4.045,5.747
39221,H,3.564,4.066,5.656
39222,H,3.581,3.95,5.752
39223,O,3.413,2.991,5.957
39224,H,3.461,3.055,6.01
39225,H,3.42,3.023,5.867
39226,O,1.663,3.85,8.584
39227,H,1.649,3.833,8.49
39228,H,1.592,3.802,8.627
39229,O,0.094,5.26,8.92
39230,H,0.171,5.256,8.976
39231,H,0.033,5.198,8.959
39232,O,6.662,5.29,11.916
39233,H,6.674,5.36,11.98
39234,H,6.583,5.315,11.868
39235,O,5.441,5.066,11.814
39236,H,5.444,5.085,11.72
39237,H,5.375,5.126,11.849
39238,O,2.252,1.015,10.291
39239,H,2.24,1.098,10.245
39240,H,2.345,1.012,10.313
39241,O,3.487,7.599,9.652
39242,H,3.562,7.549,9.621
39243,H,3.523,7.686,9.673
39244,O,3.624,5.952,10.432
39245,H,3.562,6.024,10.425
39246,H,3.578,5.876,10.397
39247,O,5.46,7.235,10.384
39248,H,5.469,7.155,10.435
39249,H,5.548,7.273,10.384
39250,O,2.071,0.626,10.672
39251,H,2.051,0.659,10.76
39252,H,2.098,0.703,10.623
39253,O,0.848,1.008,8.43
39254,H,0.932,0.963,8.439
39255,H,0.809,1.003,8.517
39256,O,6.763,0.073,9.798
39257,H,6.801,0.072,9.886
39258,H,6.714,0.155,9.794
39259,O,7.516,1.148,8.998
39260,H,7.475,1.195,9.071
39261,H,7.571,1.082,9.039
39262,O,2.819,2.653,9.811
39263,H,2.809,2.619,9.9
39264,H,2.793,2.58,9.754
39265,O,6.516,4.474,5.715
39266,H,6.507,4.381,5.699
39267,H,6.487,4.486,5.806
39268,O,3.443,1.998,8.927
39269,H,3.524,1.954,8.95
39270,H,3.46,2.091,8.944
39271,O,2.777,6.998,9.685
39272,H,2.748,6.921,9.734
39273,H,2.813,6.963,9.603
39274,O,5.205,5.013,11.053
39275,H,5.295,5.036,11.077
39276,H,5.167,4.978,11.134
39277,O,4.214,0.96,7.478
39278,H,4.276,0.889,7.494
39279,H,4.147,0.949,7.545
39280,O,4.047,7.081,9.485
39281,H,4.087,7.061,9.57
39282,H,3.971,7.135,9.507
39283,O,0.601,1.669,5.262
39284,H,0.628,1.608,5.194
39285,H,0.681,1.684,5.314
39286,O,2.001,6.094,5.547
39287,H,2.025,6.175,5.502
39288,H,2.003,6.027,5.479
39289,O,2.207,2.102,11.401
39290,H,2.157,2.174,11.439
39291,H,2.277,2.086,11.464
39292,O,5.69,3.37,7.35
39293,H,5.76,3.421,7.391
39294,H,5.723,3.28,7.349
39295,O,8.357,0.771,6.781
39296,H,8.378,0.783,6.873
39297,H,8.396,0.848,6.738
39298,O,7.903,6.288,7.517
39299,H,7.844,6.254,7.45
39300,H,7.903,6.219,7.584
39301,O,5.523,0.296,9.393
39302,H,5.52,0.295,9.488
39303,H,5.477,0.216,9.367
39304,O,3.79,6.291,5.616
39305,H,3.831,6.369,5.656
39306,H,3.697,6.31,5.616
39307,O,8.411,3.335,7.789
39308,H,8.35,3.261,7.781
39309,H,8.49,3.307,7.743
39310,O,6.529,2.959,9.575
39311,H,6.615,2.984,9.542
39312,H,6.52,2.866,9.552
39313,O,2.701,1.085,9.754
39314,H,2.775,1.133,9.717
39315,H,2.715,0.995,9.725
39316,O,1.193,0.009,6.888
39317,H,1.252,0.022,6.814
39318,H,1.223,0.07,6.955
39319,O,3.381,6.142,10.852
39320,H,3.373,6.09,10.931
39321,H,3.297,6.186,10.843
39322,O,8.324,3.332,11.03
39323,H,8.248,3.298,10.984
39324,H,8.292,3.353,11.118
39325,O,2.298,6.922,6.667
39326,H,2.359,6.931,6.74
39327,H,2.211,6.923,6.707
39328,O,1.774,1.088,6.258
39329,H,1.766,1.156,6.324
39330,H,1.777,1.135,6.174
39331,O,3.981,2.087,10.767
39332,H,3.905,2.103,10.824
39333,H,3.943,2.077,10.68
39334,O,2.788,3.828,9.861
39335,H,2.874,3.803,9.828
39336,H,2.751,3.882,9.791
39337,O,6.327,1.432,11.12
39338,H,6.41,1.385,11.119
39339,H,6.327,1.483,11.04
39340,O,4.49,0.427,10.11
39341,H,4.516,0.372,10.036
39342,H,4.57,0.47,10.137
39343,O,8.352,0.304,11.319
39344,H,8.334,0.26,11.236
39345,H,8.436,0.269,11.348
39346,O,4.732,1.582,5.177
39347,H,4.823,1.553,5.166
39348,H,4.711,1.627,5.094
39349,O,6.565,6.197,7.772
39350,H,6.579,6.103,7.786
39351,H,6.496,6.201,7.705
39352,O,3.853,5.761,7.971
39353,H,3.917,5.809,7.918
39354,H,3.769,5.78,7.931
39355,O,2.5,1.493,5.174
39356,H,2.575,1.536,5.133
39357,H,2.425,1.548,5.149
39358,O,2.391,3.115,4.781
39359,H,2.39,3.163,4.864
39360,H,2.42,3.179,4.716
39361,O,7.547,0.547,10.181
39362,H,7.454,0.561,10.195
39363,H,7.558,0.452,10.188
39364,O,2.948,2.36,11.576
39365,H,2.858,2.328,11.581
39366,H,2.995,2.29,11.531
39367,O,2.236,5.767,6.921
39368,H,2.298,5.77,6.994
39369,H,2.257,5.845,6.87
39370,O,7.234,4.747,10.913
39371,H,7.172,4.799,10.863
39372,H,7.289,4.812,10.958
39373,O,5.607,1.447,7.132
39374,H,5.582,1.374,7.074
39375,H,5.658,1.405,7.202
39376,O,5.147,2.64,9.531
39377,H,5.175,2.55,9.546
39378,H,5.212,2.694,9.575
39379,O,7.166,4.467,7.374
39380,H,7.11,4.497,7.302
39381,H,7.119,4.391,7.41
39382,O,3.68,6.964,5.413
39383,H,3.604,6.955,5.471
39384,H,3.645,7.005,5.334
39385,O,6.586,0.912,7.506
39386,H,6.529,0.945,7.436
39387,H,6.616,0.991,7.552
39388,O,4.824,5.776,5.545
39389,H,4.751,5.811,5.596
39390,H,4.844,5.844,5.481
39391,O,6.508,3.736,6.412
39392,H,6.573,3.749,6.343
39393,H,6.487,3.824,6.443
39394,O,3.958,4.887,8.478
39395,H,3.971,4.899,8.572
39396,H,3.864,4.901,8.465
39397,O,3.512,5.205,7.044
39398,H,3.427,5.24,7.07
39399,H,3.537,5.257,6.968
39400,O,3.376,3.795,8.921
39401,H,3.322,3.854,8.867
39402,H,3.362,3.826,9.01
39403,O,1.966,7.26,7.645
39404,H,2.017,7.307,7.579
39405,H,1.903,7.323,7.678
39406,O,4.933,3.592,8.742
39407,H,5.002,3.529,8.721
39408,H,4.972,3.678,8.723
39409,O,7.705,5.291,6.108
39410,H,7.779,5.23,6.117
39411,H,7.746,5.378,6.105
39412,O,3.25,4.42,7.576
39413,H,3.3,4.355,7.625
39414,H,3.316,4.472,7.53
39415,O,0.789,7.913,8.349
39416,H,0.766,7.946,8.262
39417,H,0.85,7.842,8.332
39418,O,1.337,7.891,8.125
39419,H,1.303,7.862,8.041
39420,H,1.272,7.863,8.189
39421,O,4.167,5.194,6.607
39422,H,4.107,5.123,6.629
39423,H,4.132,5.27,6.653
39424,O,3.169,1.247,5.497
39425,H,3.106,1.184,5.463
39426,H,3.249,1.231,5.447
39427,O,3.682,5.483,10.02
39428,H,3.594,5.517,10.033
39429,H,3.734,5.523,10.09
39430,O,8.292,7.505,10.839
39431,H,8.305,7.599,10.829
39432,H,8.37,7.474,10.885
39433,O,5.759,5.168,6.285
39434,H,5.787,5.087,6.327
39435,H,5.675,5.146,6.244
39436,O,2.796,6.673,8.533
39437,H,2.761,6.692,8.445
39438,H,2.754,6.738,8.59
39439,O,7.065,4.405,11.296
39440,H,7.097,4.419,11.207
39441,H,7.12,4.461,11.35
39442,O,1.96,2.225,9.848
39443,H,1.896,2.173,9.799
39444,H,1.922,2.312,9.852
39445,O,0.098,0.143,11.735
39446,H,0.148,0.197,11.796
39447,H,0.163,0.086,11.695
39448,O,3.998,4.965,10.686
39449,H,4.09,4.952,10.663
39450,H,3.992,5.058,10.709
39451,O,7.439,1.801,10.947
39452,H,7.41,1.713,10.973
39453,H,7.5,1.786,10.875
39454,O,0.063,3.389,6.331
39455,H,0.041,3.331,6.404
39456,H,0.122,3.337,6.276
39457,O,2.255,5.772,11.839
39458,H,2.19,5.737,11.901
39459,H,2.243,5.721,11.76
39460,O,2.387,0.204,10.481
39461,H,2.472,0.241,10.505
39462,H,2.398,0.11,10.493
39463,O,5.196,3.642,5.655
39464,H,5.166,3.69,5.732
39465,H,5.129,3.575,5.641
39466,O,0.744,6.852,8.153
39467,H,0.746,6.825,8.061
39468,H,0.752,6.948,8.149
39469,O,0.06,6.235,10.972
39470,H,0.132,6.262,11.028
39471,H,0.028,6.154,11.01
39472,O,7.689,5.079,5.647
39473,H,7.665,5.125,5.728
39474,H,7.654,4.991,5.658
39475,O,8.218,1.779,5.99
39476,H,8.218,1.734,6.075
39477,H,8.13,1.765,5.956
39478,O,4.305,3.147,6.146
39479,H,4.364,3.093,6.093
39480,H,4.351,3.23,6.156
39481,O,7.411,5.435,8.644
39482,H,7.397,5.529,8.657
39483,H,7.503,5.427,8.621
39484,O,2.838,0.159,8.83
39485,H,2.92,0.18,8.875
39486,H,2.78,0.232,8.851
39487,O,6.342,4.204,8.345
39488,H,6.397,4.228,8.27
39489,H,6.396,4.142,8.395
39490,O,4.428,3.971,7.139
39491,H,4.378,4.042,7.178
39492,H,4.372,3.938,7.068
39493,O,8.177,3.043,11.187
39494,H,8.107,3.025,11.25
39495,H,8.132,3.073,11.109
39496,O,5.111,5.525,9.053
39497,H,5.028,5.57,9.068
39498,H,5.176,5.595,9.051
39499,O,3.763,7.361,9.403
39500,H,3.822,7.397,9.336
39501,H,3.733,7.278,9.366
39502,O,8.101,0.504,7.079
39503,H,8.186,0.535,7.109
39504,H,8.084,0.425,7.131
39505,O,2.229,4.387,5.255
39506,H,2.3,4.415,5.198
39507,H,2.195,4.307,5.215
39508,O,0.074,0.879,7.761
39509,H,0.054,0.807,7.821
39510,H,0.168,0.895,7.772
39511,O,7.69,3.04,10.547
39512,H,7.665,2.965,10.602
39513,H,7.611,3.093,10.542
39514,O,8.061,2.811,10.398
39515,H,8.017,2.896,10.401
39516,H,8.008,2.759,10.338
39517,O,6.395,1.587,7.629
39518,H,6.39,1.62,7.719
39519,H,6.304,1.589,7.598
39520,O,0.194,5.587,9.641
39521,H,0.118,5.532,9.661
39522,H,0.157,5.668,9.607
39523,O,2.58,6.943,7.386
39524,H,2.641,6.993,7.332
39525,H,2.617,6.855,7.389
39526,O,5.068,5.696,6.101
39527,H,5.128,5.759,6.062
39528,H,5.052,5.729,6.19
39529,O,7.839,1.544,11.65
39530,H,7.803,1.511,11.568
39531,H,7.766,1.592,11.69
39532,O,7.566,7.628,10.21
39533,H,7.519,7.623,10.294
39534,H,7.645,7.677,10.23
39535,O,1.376,6.6,9.443
39536,H,1.376,6.504,9.446
39537,H,1.404,6.621,9.354
39538,O,0.854,0.094,8.782
39539,H,0.898,0.176,8.802
39540,H,0.798,0.077,8.858
39541,O,3.341,2.47,7.709
39542,H,3.351,2.489,7.802
39543,H,3.247,2.482,7.692
39544,O,8.348,7.093,6.714
39545,H,8.291,7.164,6.683
39546,H,8.39,7.059,6.634
39547,O,7.291,1.159,6.025
39548,H,7.335,1.227,5.974
39549,H,7.348,1.083,6.017
39550,O,7.197,7.499,10.376
39551,H,7.19,7.404,10.382
39552,H,7.273,7.521,10.429
39553,O,5.118,4.331,10.977
39554,H,5.1,4.286,10.895
39555,H,5.166,4.267,11.029
39556,O,8.275,4.905,9.507
39557,H,8.343,4.847,9.475
39558,H,8.197,4.88,9.457
39559,O,5.572,5.981,11.926
39560,H,5.586,6.007,11.835
39561,H,5.528,6.057,11.965
39562,O,2.044,1.461,11.048
39563,H,1.981,1.502,11.107
39564,H,2.07,1.53,10.987
39565,O,5.097,7.273,8.835
39566,H,5.017,7.257,8.884
39567,H,5.15,7.327,8.894
39568,O,6.914,3.781,10.599
39569,H,6.999,3.774,10.643
39570,H,6.935,3.8,10.508
39571,O,5.165,7.786,7.888
39572,H,5.212,7.819,7.964
39573,H,5.199,7.837,7.815
39574,O,1.609,1.728,11.132
39575,H,1.54,1.691,11.078
39576,H,1.645,1.8,11.079
39577,O,0.57,7.24,11.132
39578,H,0.617,7.315,11.096
39579,H,0.496,7.227,11.073
39580,O,7.304,0.966,9.147
39581,H,7.287,1.006,9.062
39582,H,7.244,0.891,9.151
39583,O,2.809,2.712,8.105
39584,H,2.784,2.747,8.02
39585,H,2.731,2.724,8.16
39586,O,7.233,6.49,9.392
39587,H,7.231,6.536,9.308
39588,H,7.297,6.42,9.379
39589,O,4.284,0.071,9.967
39590,H,4.354,0.07,10.032
39591,H,4.326,0.098,9.885
39592,O,5.531,5.021,11.291
39593,H,5.452,4.977,11.321
39594,H,5.602,4.959,11.311
39595,O,2.196,7.475,6.189
39596,H,2.219,7.399,6.135
39597,H,2.264,7.477,6.257
39598,O,6.858,7.704,7.362
39599,H,6.936,7.698,7.308
39600,H,6.788,7.729,7.301
39601,O,2.439,3.1,9.351
39602,H,2.349,3.102,9.319
39603,H,2.432,3.116,9.445
39604,O,0.69,0.609,5.035
39605,H,0.704,0.615,5.129
39606,H,0.621,0.542,5.025
39607,O,1.54,7.436,7.347
39608,H,1.451,7.449,7.38
39609,H,1.588,7.403,7.423
39610,O,3.691,2.314,5.181
39611,H,3.601,2.318,5.148
39612,H,3.707,2.401,5.218
39613,O,1.184,0.423,9.37
39614,H,1.255,0.419,9.306
39615,H,1.161,0.516,9.374
39616,O,4.939,3.956,7.886
39617,H,4.916,3.871,7.924
39618,H,4.862,3.979,7.832
39619,O,5.453,3.577,8.627
39620,H,5.523,3.529,8.672
39621,H,5.466,3.557,8.534
39622,O,6.321,4.625,5.591
39623,H,6.406,4.595,5.626
39624,H,6.343,4.703,5.539
39625,O,1.621,7.223,7.073
39626,H,1.674,7.293,7.035
39627,H,1.598,7.254,7.16
39628,O,7.148,5.732,9.741
39629,H,7.055,5.709,9.739
39630,H,7.173,5.738,9.649
39631,O,6.781,1.997,10.49
39632,H,6.842,1.925,10.476
39633,H,6.698,1.967,10.453
39634,O,5.527,7.574,6.025
39635,H,5.606,7.624,6.005
39636,H,5.468,7.593,5.953
39637,O,2.804,3.593,7.271
39638,H,2.712,3.572,7.289
39639,H,2.848,3.508,7.267
39640,O,2.795,2.583,7.382
39641,H,2.833,2.565,7.296
39642,H,2.848,2.654,7.417
39643,O,2.241,6.262,8.743
39644,H,2.295,6.215,8.806
39645,H,2.173,6.199,8.717
39646,O,2.677,4.929,10.55
39647,H,2.752,4.887,10.509
39648,H,2.713,5.007,10.593
39649,O,1.893,2.094,7.962
39650,H,1.943,2.167,7.998
39651,H,1.914,2.02,8.019
39652,O,6.235,0.355,5.981
39653,H,6.255,0.34,6.074
39654,H,6.314,0.328,5.935
39655,O,7.78,3.444,11.262
39656,H,7.834,3.385,11.314
39657,H,7.692,3.406,11.265
39658,O,1.334,6.2,6.574
39659,H,1.402,6.268,6.576
39660,H,1.363,6.134,6.637
39661,O,0.332,3.564,6.218
39662,H,0.253,3.607,6.185
39663,H,0.403,3.604,6.168
39664,O,6.186,6.845,7.105
39665,H,6.169,6.817,7.194
39666,H,6.269,6.893,7.11
39667,O,1.81,6.838,8.403
39668,H,1.72,6.861,8.429
39669,H,1.844,6.791,8.479
39670,O,5.139,5.129,9.511
39671,H,5.13,5.197,9.444
39672,H,5.092,5.054,9.475
39673,O,4.3,4.519,10.889
39674,H,4.361,4.454,10.924
39675,H,4.351,4.566,10.824
39676,O,1.175,2.077,7.285
39677,H,1.198,2.006,7.225
39678,H,1.081,2.067,7.298
39679,O,2.383,4.721,9.458
39680,H,2.474,4.709,9.431
39681,H,2.335,4.732,9.375
39682,O,3.217,2.821,9.984
39683,H,3.244,2.738,9.944
39684,H,3.141,2.798,10.037
39685,O,3.116,6.855,8.333
39686,H,3.037,6.849,8.28
39687,H,3.112,6.778,8.391
39688,O,2.754,2.76,8.572
39689,H,2.834,2.789,8.617
39690,H,2.694,2.834,8.579
39691,O,5.67,3.977,7.989
39692,H,5.689,4.066,7.959
39693,H,5.754,3.944,8.021
39694,O,0.016,3.436,11.311
39695,H,0.093,3.422,11.256
39696,H,-0.049,3.474,11.252
39697,O,5.127,4.025,9.861
39698,H,5.098,3.965,9.93
39699,H,5.123,4.112,9.902
39700,O,6.383,4.077,10.482
39701,H,6.358,4.028,10.56
39702,H,6.408,4.163,10.515
39703,O,7.711,7.192,5.626
39704,H,7.773,7.243,5.679
39705,H,7.634,7.247,5.619
39706,O,8.068,2.879,10.028
39707,H,7.998,2.856,10.09
39708,H,8.029,2.946,9.972
39709,O,7.281,1.212,11.405
39710,H,7.231,1.272,11.46
39711,H,7.372,1.231,11.426
39712,O,5.946,5.279,5.267
39713,H,5.977,5.329,5.191
39714,H,5.866,5.236,5.237
39715,O,0.428,0.022,9.198
39716,H,0.409,-0.042,9.128
39717,H,0.402,0.106,9.161
39718,O,2.799,6.964,8.946
39719,H,2.795,6.869,8.953
39720,H,2.707,6.992,8.947
39721,O,5.508,3.311,9.525
39722,H,5.519,3.401,9.556
39723,H,5.443,3.318,9.455
39724,O,8.173,4.458,9.936
39725,H,8.182,4.507,10.018
39726,H,8.22,4.377,9.952
39727,O,1.782,2.919,5.105
39728,H,1.742,3.003,5.127
39729,H,1.789,2.92,5.009
39730,O,2.275,3.209,8.171
39731,H,2.365,3.177,8.171
39732,H,2.222,3.13,8.188
39733,O,0.935,4.316,9.147
39734,H,0.9,4.384,9.204
39735,H,0.867,4.248,9.147
39736,O,3.347,3.425,9.732
39737,H,3.364,3.354,9.794
39738,H,3.322,3.499,9.787
39739,O,3.362,6.32,7.137
39740,H,3.334,6.271,7.06
39741,H,3.456,6.334,7.125
39742,O,8.216,4.248,7.791
39743,H,8.31,4.242,7.774
39744,H,8.184,4.312,7.728
39745,O,2.357,5.539,9.643
39746,H,2.344,5.521,9.55
39747,H,2.273,5.577,9.672
39748,O,3.454,7.677,5.296
39749,H,3.433,7.763,5.332
39750,H,3.37,7.643,5.265
39751,O,3.175,0.458,5.742
39752,H,3.158,0.434,5.833
39753,H,3.194,0.551,5.745
39754,O,4.851,2.892,5.893
39755,H,4.841,2.823,5.827
39756,H,4.79,2.867,5.963
39757,O,2.314,5.949,10.616
39758,H,2.385,5.93,10.677
39759,H,2.319,6.044,10.602
39760,O,1.197,4.631,9.549
39761,H,1.255,4.697,9.51
39762,H,1.121,4.628,9.49
39763,O,3.794,6.277,10.704
39764,H,3.796,6.271,10.608
39765,H,3.709,6.242,10.729
39766,O,6.73,3.847,5.522
39767,H,6.649,3.839,5.571
39768,H,6.713,3.914,5.456
39769,O,2.56,3.27,9.184
39770,H,2.534,3.214,9.257
39771,H,2.612,3.34,9.224
39772,O,5.631,1.578,6.854
39773,H,5.707,1.614,6.808
39774,H,5.665,1.5,6.898
39775,O,2.496,1.832,11.615
39776,H,2.453,1.763,11.666
39777,H,2.59,1.818,11.629
39778,O,1.643,1.667,7.64
39779,H,1.552,1.638,7.648
39780,H,1.665,1.648,7.548
39781,O,4.363,2.1,9.286
39782,H,4.403,2.035,9.343
39783,H,4.282,2.125,9.331
39784,O,6.448,5.878,10.122
39785,H,6.479,5.917,10.04
39786,H,6.413,5.951,10.173
39787,O,0.296,6.995,8.279
39788,H,0.31,6.954,8.193
39789,H,0.264,7.083,8.258
39790,O,3.469,4.53,7.425
39791,H,3.415,4.542,7.347
39792,H,3.492,4.619,7.451
39793,O,0.062,2.505,9.74
39794,H,0.144,2.456,9.738
39795,H,0.079,2.582,9.684
39796,O,2.241,5.918,6.225
39797,H,2.279,5.903,6.139
39798,H,2.204,5.833,6.25
39799,O,1.937,2.663,9.287
39800,H,2.023,2.622,9.279
39801,H,1.937,2.701,9.375
39802,O,0.964,3.756,5.868
39803,H,0.954,3.707,5.786
39804,H,1.009,3.695,5.927
39805,O,1.473,0.169,10.326
39806,H,1.432,0.087,10.298
39807,H,1.415,0.202,10.395
39808,O,0.612,3.586,8.184
39809,H,0.682,3.551,8.129
39810,H,0.562,3.51,8.211
39811,O,5.078,3.078,8.004
39812,H,5.117,3.097,8.089
39813,H,5.145,3.028,7.958
39814,O,1.452,2.862,10.766
39815,H,1.545,2.883,10.777
39816,H,1.44,2.781,10.816
39817,O,7.233,6.105,6.455
39818,H,7.196,6.025,6.418
39819,H,7.287,6.075,6.529
39820,O,3.97,3.633,5.26
39821,H,3.955,3.66,5.351
39822,H,4.061,3.658,5.243
39823,O,3.18,1.247,5.773
39824,H,3.184,1.243,5.678
39825,H,3.087,1.24,5.794
39826,O,8.356,7.631,9.077
39827,H,8.38,7.574,9.15
39828,H,8.44,7.658,9.04
39829,O,1.822,0.202,8.987
39830,H,1.828,0.206,9.082
39831,H,1.833,0.109,8.966
39832,O,6.11,7.782,7.131
39833,H,6.045,7.735,7.183
39834,H,6.059,7.835,7.071
39835,O,7.594,2.017,10.089
39836,H,7.566,2.019,9.998
39837,H,7.659,1.948,10.093
39838,O,4.245,0.487,5.5
39839,H,4.3,0.561,5.525
39840,H,4.305,0.423,5.462
39841,O,5.572,5.407,11.78
39842,H,5.476,5.398,11.783
39843,H,5.587,5.501,11.771
39844,O,1.638,1.34,10.817
39845,H,1.596,1.281,10.879
39846,H,1.565,1.373,10.763
39847,O,8.023,2.813,6.989
39848,H,7.961,2.74,7
39849,H,7.971,2.882,6.947
39850,O,6.427,6.478,9.333
39851,H,6.45,6.429,9.254
39852,H,6.503,6.47,9.39
39853,O,5.185,0.917,8.119
39854,H,5.158,1.005,8.144
39855,H,5.165,0.911,8.026
39856,O,4.282,2.211,10.568
39857,H,4.226,2.243,10.639
39858,H,4.228,2.22,10.489
39859,O,0.401,7.292,8.045
39860,H,0.431,7.203,8.027
39861,H,0.306,7.284,8.056
39862,O,2.88,2.877,9.217
39863,H,2.948,2.814,9.239
39864,H,2.801,2.824,9.204
39865,O,7.132,6.512,11.222
39866,H,7.066,6.52,11.29
39867,H,7.084,6.525,11.14
39868,O,4.069,4.747,11.407
39869,H,3.99,4.694,11.392
39870,H,4.101,4.768,11.32
39871,O,3.801,4.813,5.416
39872,H,3.837,4.879,5.475
39873,H,3.709,4.836,5.407
39874,O,2.61,6.857,7.874
39875,H,2.706,6.86,7.867
39876,H,2.58,6.93,7.82
39877,O,0.879,4.588,10.459
39878,H,0.817,4.596,10.387
39879,H,0.91,4.497,10.455
39880,O,4.477,1.718,9.787
39881,H,4.406,1.779,9.768
39882,H,4.509,1.69,9.701
39883,O,4.687,7.124,10.589
39884,H,4.621,7.06,10.563
39885,H,4.72,7.092,10.672
39886,O,0.784,0.85,11.205
39887,H,0.833,0.826,11.284
39888,H,0.795,0.945,11.198
39889,O,4.104,2.366,7.37
39890,H,4.107,2.433,7.302
39891,H,4.024,2.384,7.418
39892,O,4.026,3.65,10.136
39893,H,4.079,3.727,10.157
39894,H,3.992,3.669,10.048
39895,O,4.883,7.401,10.462
39896,H,4.915,7.457,10.391
39897,H,4.845,7.463,10.526
39898,O,1.297,3.832,7.439
39899,H,1.263,3.791,7.36
39900,H,1.392,3.832,7.426
39901,O,3.103,4.448,7.83
39902,H,3.134,4.533,7.862
39903,H,3.136,4.442,7.741
39904,O,3.216,4.218,5.389
39905,H,3.226,4.313,5.395
39906,H,3.243,4.196,5.299
39907,O,0.236,6.146,7.569
39908,H,0.262,6.203,7.497
39909,H,0.234,6.204,7.646
39910,O,7.892,2.716,10.199
39911,H,7.906,2.633,10.244
39912,H,7.816,2.701,10.143
39913,O,2.844,6.749,10.012
39914,H,2.821,6.75,10.104
39915,H,2.92,6.692,10.006
39916,O,0.468,7.377,5.068
39917,H,0.395,7.32,5.093
39918,H,0.446,7.406,4.979
39919,O,1.975,0.876,5.659
39920,H,1.932,0.928,5.591
39921,H,2.04,0.824,5.611
39922,O,5.6,0.627,5.843
39923,H,5.671,0.565,5.829
39924,H,5.553,0.593,5.92
39925,O,4.321,2.602,5.405
39926,H,4.325,2.536,5.336
39927,H,4.374,2.566,5.476
39928,O,5.538,7.364,5.212
39929,H,5.584,7.377,5.129
39930,H,5.543,7.449,5.256
39931,O,1.403,3.841,9.278
39932,H,1.458,3.91,9.239
39933,H,1.342,3.817,9.209
39934,O,1.211,3.031,11.094
39935,H,1.246,3.069,11.013
39936,H,1.24,3.09,11.163
39937,O,4.957,1.834,9.164
39938,H,4.996,1.904,9.112
39939,H,4.869,1.824,9.129
39940,O,1.543,1.385,11.497
39941,H,1.486,1.423,11.43
39942,H,1.565,1.458,11.555
39943,O,2.481,6.749,10.022
39944,H,2.424,6.693,10.074
39945,H,2.565,6.747,10.068
39946,O,4.085,2.629,6.389
39947,H,4.132,2.712,6.391
39948,H,4.146,2.568,6.347
39949,O,6.506,0.769,5.7
39950,H,6.504,0.79,5.606
39951,H,6.414,0.769,5.726
39952,O,2.32,4.265,9.344
39953,H,2.371,4.186,9.361
39954,H,2.305,4.303,9.431
39955,O,0.071,2.546,8.891
39956,H,0.152,2.576,8.932
39957,H,0.101,2.498,8.813
39958,O,0.43,1.884,5.33
39959,H,0.48,1.965,5.329
39960,H,0.497,1.815,5.335
39961,O,2.835,2.028,6.729
39962,H,2.854,1.986,6.645
39963,H,2.739,2.032,6.733
39964,O,6.805,0.886,10.596
39965,H,6.763,0.93,10.67
39966,H,6.884,0.847,10.633
39967,O,1.229,6.7,6.457
39968,H,1.21,6.607,6.448
39969,H,1.277,6.723,6.378
39970,O,0.046,6.623,8.865
39971,H,0.015,6.576,8.942
39972,H,-0.021,6.608,8.799
39973,O,4.612,2.879,7.761
39974,H,4.697,2.919,7.743
39975,H,4.549,2.946,7.735
39976,O,3.344,5.711,9.996
39977,H,3.287,5.643,9.961
39978,H,3.286,5.767,10.048
39979,O,5.424,0.597,8.102
39980,H,5.467,0.669,8.057
39981,H,5.496,0.543,8.136
39982,O,0.631,0.68,5.332
39983,H,0.563,0.662,5.397
39984,H,0.596,0.753,5.28
39985,O,6.793,5.077,10.918
39986,H,6.702,5.045,10.917
39987,H,6.786,5.168,10.945
39988,O,2.06,4.425,5.786
39989,H,2.143,4.378,5.785
39990,H,2.033,4.427,5.694
39991,O,4.17,4.298,10.572
39992,H,4.097,4.241,10.551
39993,H,4.23,4.242,10.622
39994,O,0.342,6.519,5.302
39995,H,0.395,6.551,5.375
39996,H,0.252,6.542,5.326
39997,O,3.165,4.955,7.651
39998,H,3.211,5.006,7.717
39999,H,3.103,5.017,7.612
40000,O,4.355,2.37,8.88
40001,H,4.351,2.444,8.941
40002,H,4.385,2.409,8.798
40003,O,7.721,3.751,10.546
40004,H,7.733,3.723,10.456
40005,H,7.721,3.847,10.543
40006,O,3.754,4.461,11.624
40007,H,3.779,4.485,11.535
40008,H,3.786,4.533,11.679
40009,O,2.851,6.475,10.59
40010,H,2.833,6.435,10.505
40011,H,2.765,6.486,10.63
40012,O,6.125,1.246,11.198
40013,H,6.145,1.339,11.191
40014,H,6.112,1.231,11.291
40015,O,7.461,1.24,8.289
40016,H,7.498,1.166,8.241
40017,H,7.483,1.317,8.236
40018,O,2.879,6.669,5.812
40019,H,2.834,6.586,5.824
40020,H,2.967,6.654,5.847
40021,O,5.288,5.024,5.719
40022,H,5.327,4.941,5.692
40023,H,5.246,5.006,5.803
40024,O,3.507,1.37,9.732
40025,H,3.597,1.351,9.758
40026,H,3.513,1.455,9.687
40027,O,6.463,6.872,8.241
40028,H,6.402,6.884,8.314
